Address,Amt per m²,Balcony,District,Elevator,Floor,Location,Monthly Pay,Municipality,Patio,Price,Size in m²,Total Rooms,Latitude,Longitude,lat_2,long_2,Distance
Granlidsvägen 2,51960.78431372549,True,Terrass På Ca,False,2.0,"Terrass På Ca,Sundbyberg",3594.0,Sundbybergs kommun,False,2650000,51.0,2.0,59.3669879,17.952152355015038,59.3324,18.0645,7.439836423597538
Torkel Knutssonsgatan 35,100000.0,False,Mariatorget,True,3.0,"Mariatorget,Stockholm",2487.0,Stockholms kommun,False,6100000,61.0,2.0,59.3171098,18.0578368,59.3324,18.0645,1.741704309455511
Blekingegatan 20,103939.39393939394,False,Södermalm,True,3.0,"Södermalm,Stockholm",1608.0,Stockholms kommun,False,3430000,33.0,1.0,59.3095002,18.0679055,59.3324,18.0645,2.5536612365971916
Slättåkragränd 58,37894.73684210526,True,Östbergahöjden,False,2.0,"Östbergahöjden,Stockholm",4043.0,Stockholms kommun,False,2160000,57.0,2.0,59.2899734,18.0330324,59.3324,18.0645,5.044315625171337
Stallgatan 16B,27196.969696969696,True,Centrum,True,1.0,"Centrum,Upplands Väsby",3799.0,Upplands Väsby kommun,False,1795000,66.0,2.0,59.5134764,17.9061172,59.3324,18.0645,22.03790946496352
Radiusbacken 39,76794.8717948718,True,Telefonplan,False,2.0,"Telefonplan,Stockholm",2600.0,Stockholms kommun,False,2995000,39.0,2.0,59.2981247,18.0039586,59.3324,18.0645,5.131021175745411
Råstensgatan 6,83194.44444444444,False,Centrala Sundbyberg,True,2.0,"Centrala Sundbyberg,Sundbyberg",1907.0,Sundbybergs kommun,False,2995000,36.0,2.0,59.3626659,17.9742131,59.3324,18.0645,6.125689218475879
Lötmogatan 7,71285.71428571429,True,Midsommarkransen,False,3.0,"Midsommarkransen,Stockholm",3421.0,Stockholms kommun,False,2495000,35.0,1.5,59.3036837,18.0126924,59.3324,18.0645,4.340145336031022
Grevgatan 19,166666.66666666666,True,Östermalm,True,4.0,"Östermalm,Stockholm",1122.0,Stockholms kommun,False,4000000,24.0,1.0,59.3337487,18.0844385,59.3324,18.0645,1.1407048273065152
Förrådsgatan 14,70416.66666666667,True,Gamla Råsunda,False,1.0,"Gamla Råsunda,Solna",2471.0,Solna kommun,False,3380000,48.0,2.0,59.3670676,17.99036972816238,59.3324,18.0645,5.702497684410867
